dt,tweet,User,local
2020-12-28 19:00:04,Coronavirus live updates: Novavax launches late-stage trial of COVID-19 vaccine in US | Read more:… https://t.co/c4ARqHFc8o,WFTV,Orlando
2020-12-28 19:00:00,"Some countries began vaccinations over the weekend, while others will wait until the new year. https://t.co/Ng1sQjvhGg",Newsy,Your TV
2020-12-28 18:59:51,"@globalnews ""Four trial volunteers who got Pfizer's COVID-19 vaccine developed Bell's palsy""..   https://t.co/rhr41jsUfs",LukeLukey16,
2020-12-28 18:59:46,Pfizer COVID-19 vaccine: What you need to know https://t.co/q9quLcrX0y,siadvance,"Staten Island, N.Y."
2020-12-28 18:57:27,"Jordan To Get One Million Pfizer COVID-19 Vaccine Doses, Says Health Minister https://t.co/VUnMs84dfA",WSJforum,Republic of Ireland.
2020-12-28 18:57:08,I received my invitation to receive the Pfizer COVID vaccine this morning and just scheduled my first dose for Thur… https://t.co/LvwxaCLtsR,skippy_couture,"San Francisco, CA"
2020-12-28 18:56:17,@pfizer Interesting but easy read to understand what’s likely to be going on with COVID long haulers,MrStephenHammo1,
2020-12-28 18:56:09,"New Brunswick reported one new case of COVID-19 on Monday, and said a total of 1,034 front-line healthcare workers… https://t.co/hjhNVNTQ9G",aalhakim_,K’jipuktuk (Halifax) 
2020-12-28 18:55:37,"According to Pfizer, their vaccine is modified mRNA that gets your cells to produce the spikes found on the shell o… https://t.co/7LL6XEW9Ec",PhilippusArabus,Rust Belt
2020-12-28 18:54:51,"UPenn sounds nice   “Karikó has been at the helm of BioNTech’s Covid-19 vaccine development. In 2013, she accepted… https://t.co/WTUWbRPb3x",burritojustice,"La Lengua, SF"
2020-12-28 18:52:12,Coronavirus: EU countries begin mass vaccination Countries across the EU received their first shipments of the Pfiz… https://t.co/HDD81Vkojh,AhlainNews,
2020-12-28 18:52:03,@FrMatthewLC @BishopStika Objection to the Cov-19 vaccine other than questionable cell line sourcing: the vaccine m… https://t.co/soUHKW1z4Q,julianne_wiley,
2020-12-28 18:51:56,"Jordan to get one million Pfizer COVID-19 vaccine doses, says Health Minister https://t.co/gshCR2QiLI",homelandnewsng1,
2020-12-28 18:51:47,"@pfizer @BioNTech_Group does your covid-19 vaccine contain ethanol, if so in what quantity will it be present in a single dose?",TheMustakim,My Mind Palace 
2020-12-28 18:51:02,"@pfizer Dear pfizer, since your Covid vaccine is so reliable and protective, why don’t you sign the clauses of resp… https://t.co/BuQNWYzieH",RimmerIsabel,
2020-12-28 18:50:59,"A thread about the two new COVID-19 mRNA vaccines, Moderna and Pfizer:",alyce_riley,"Bryan, TX"
2020-12-28 18:49:56,"Who's getting vaccinated? Initially, doctors, nurses and others in Chicago's whitest, most affluent neighborhoods w… https://t.co/0gyXODU6MQ",brettchase,Chicago
2020-12-28 18:49:35,"German media savages EU vaccine failures - bloc's procurement was 'too little, too late' https://t.co/RfRDP3sG83",SamJone58903336,
2020-12-28 18:48:56,@InfidelAngela @indacopa FYI....The entire Pfizer COVID vaccine document can be found at: https://t.co/J9URUTyEmf,EastTexasBorn,East Texas 
2020-12-28 18:47:58,How the U.Okay. Authorized Pfizer’s COVID-19 Vaccine So Rapid  #magplanet #styleupnow #mypressnews #myhealthfunda… https://t.co/iDmFBrAjfj,kavita_sharma24,
2020-12-28 18:47:17,"Eight German care home employees jabbed with 5 TIMES Pfizer vaccine dose, 4 hospitalized ... Source: Russia Today https://t.co/4YwjNWFJTa",TheTop10News2,
2020-12-28 18:46:29,Germany's Covid vaccine rollout PAUSED after potential temperature failures detected https://t.co/eMlkfgEFRb,SamJone58903336,
2020-12-28 18:45:23,"Jordan To Get One Million Pfizer COVID-19 Vaccine Doses, Says Health Minister https://t.co/25mPXQoIwB",telesquibtv,Worldwide
2020-12-28 18:45:00,"In an effort to increase the public's confidence in Pfizer and Moderna's coronavirus vaccine, he has asked NBA Fina… https://t.co/oh01MP9rHR",K97Fm,
2020-12-28 18:44:01,WHO CANT .Pfizer COVID REAL EMERGENCY MEDICALCARE GAME ON WHO EXCUSE NOT . https://t.co/lRD84uI5wA,JAdhiesan,
2020-12-28 18:43:59,"""Pfizer and Moderna trials tracked only how many vaccinated people became sick with Covid-19. That leaves open the… https://t.co/sSY272FHa0",sophsweet,"Falmouth, England"
